county,precinct,dem18,lib18,gop18,total18,dem18pct,gop18pct,margin18,dem19,gre19,lib19,gop19,total19,dem19pct,gop19pct,margin19
ANSON,ANS,313,13,248,574,54.5,43.2,11.299999999999997,228,1,2,160,391,58.3,40.9,17.4
ANSON,BURN,206,13,493,712,28.9,69.2,40.300000000000004,146,0,1,359,506,28.9,70.9,42.00000000000001
ANSON,GULL,336,6,188,530,63.4,35.5,27.9,226,0,2,147,375,60.3,39.2,21.099999999999994
ANSON,LILE,780,16,432,1228,63.5,35.2,28.299999999999997,543,1,2,322,868,62.6,37.1,25.5
ANSON,MM,495,7,112,614,80.6,18.2,62.39999999999999,333,0,0,75,408,81.6,18.4,63.199999999999996
ANSON,PEAC,188,8,505,701,26.8,72,45.2,121,4,0,391,516,23.4,75.8,52.4
ANSON,POLK,198,5,242,445,44.5,54.4,9.899999999999999,129,0,0,168,297,43.4,56.6,13.200000000000003
ANSON,W1,764,13,280,1057,72.3,26.5,45.8,529,2,4,193,728,72.7,26.5,46.2
ANSON,W2,520,12,221,753,69.1,29.3,39.8,364,3,1,154,522,69.7,29.5,40.2
ANSON,W3,710,20,451,1181,60.1,38.2,21.9,484,0,2,326,812,59.6,40.1,19.5
ANSON,WS,76,1,94,171,44.4,55,10.600000000000001,56,0,1,80,137,40.9,58.4,17.5
BLADEN,P10,103,4,131,238,43.3,55,11.700000000000003,66,0,0,137,203,32.5,67.5,35
BLADEN,P15,224,14,532,770,29.1,69.1,39.99999999999999,128,2,2,506,638,20.1,79.3,59.199999999999996
BLADEN,P201,104,9,347,460,22.6,75.4,52.800000000000004,88,0,0,356,444,19.8,80.2,60.400000000000006
BLADEN,P202,210,9,345,564,37.2,61.2,24,155,0,1,376,532,29.1,70.7,41.6
BLADEN,P25,108,3,104,215,50.2,48.4,1.8000000000000043,73,0,1,90,164,44.5,54.9,10.399999999999999
BLADEN,P35,89,0,68,157,56.7,43.3,13.400000000000006,87,0,0,52,139,62.6,37.4,25.200000000000003
BLADEN,P40,98,5,229,332,29.5,69,39.5,106,0,1,235,342,31,68.7,37.7
BLADEN,P45,60,2,120,182,33,65.9,32.900000000000006,49,0,0,92,141,34.8,65.2,30.400000000000006
BLADEN,P501,226,6,172,404,55.9,42.6,13.299999999999997,262,1,3,231,497,52.7,46.5,6.200000000000003
BLADEN,P60,289,7,214,510,56.7,42,14.700000000000003,189,0,0,163,352,53.7,46.3,7.400000000000006
BLADEN,P70,68,2,70,140,48.6,50,1.3999999999999986,57,0,0,46,103,55.3,44.7,10.599999999999994
BLADEN,P80,108,9,187,304,35.5,61.5,26,96,0,2,150,248,38.7,60.5,21.799999999999997
CUMBERLAND,AL51,260,16,515,791,32.9,65.1,32.199999999999996,623,1,2,969,1595,39.1,60.8,21.699999999999996
CUMBERLAND,CC01,406,9,50,465,87.3,10.8,76.5,433,1,4,57,495,87.5,11.5,76
CUMBERLAND,CC05,368,9,44,421,87.4,10.5,76.9,358,0,2,56,416,86.1,13.5,72.6
