county_desc,precinct_code,precinct_name,candidate_name,candidate_party_lbl,cnt,num_votes
ANSON,ANS,ANSONVILLE,Dan McCready,DEM,5,313
ANSON,ANS,ANSONVILLE,Jeff Scott,LIB,5,13
ANSON,ANS,ANSONVILLE,Mark Harris,REP,5,248
ANSON,BURN,BURNSVILLE,Dan McCready,DEM,5,206
ANSON,BURN,BURNSVILLE,Jeff Scott,LIB,5,13
ANSON,BURN,BURNSVILLE,Mark Harris,REP,5,493
ANSON,GULL,GULLEDGE,Dan McCready,DEM,5,336
ANSON,GULL,GULLEDGE,Jeff Scott,LIB,5,6
ANSON,GULL,GULLEDGE,Mark Harris,REP,5,188
ANSON,LILE,LILESVILLE,Dan McCready,DEM,5,780
ANSON,LILE,LILESVILLE,Jeff Scott,LIB,5,16
ANSON,LILE,LILESVILLE,Mark Harris,REP,5,432
ANSON,MM,MORVEN/MCFARLAN,Dan McCready,DEM,5,495
ANSON,MM,MORVEN/MCFARLAN,Jeff Scott,LIB,5,7
ANSON,MM,MORVEN/MCFARLAN,Mark Harris,REP,5,112
ANSON,PEAC,PEACHLAND,Dan McCready,DEM,5,188
ANSON,PEAC,PEACHLAND,Jeff Scott,LIB,5,8
ANSON,PEAC,PEACHLAND,Mark Harris,REP,5,505
ANSON,POLK,POLKTON,Dan McCready,DEM,5,198
ANSON,POLK,POLKTON,Jeff Scott,LIB,5,5
ANSON,POLK,POLKTON,Mark Harris,REP,5,242
ANSON,W1,WADESBORO 1,Dan McCready,DEM,5,764
ANSON,W1,WADESBORO 1,Jeff Scott,LIB,5,13
ANSON,W1,WADESBORO 1,Mark Harris,REP,5,280
ANSON,W2,WADESBORO 2,Dan McCready,DEM,5,520
ANSON,W2,WADESBORO 2,Jeff Scott,LIB,5,12
ANSON,W2,WADESBORO 2,Mark Harris,REP,5,221
ANSON,W3,WADESBORO 3,Dan McCready,DEM,5,710
ANSON,W3,WADESBORO 3,Jeff Scott,LIB,5,20
ANSON,W3,WADESBORO 3,Mark Harris,REP,5,451
ANSON,WS,WHITE STORE,Dan McCready,DEM,5,76
ANSON,WS,WHITE STORE,Jeff Scott,LIB,5,1
ANSON,WS,WHITE STORE,Mark Harris,REP,5,94
CUMBERLAND,ABSENTEE 1-20,NA,Dan McCready,DEM,5,0
CUMBERLAND,ABSENTEE 1-20,NA,Jeff Scott,LIB,5,0
CUMBERLAND,ABSENTEE 1-20,NA,Mark Harris,REP,5,0
CUMBERLAND,ABSENTEE 21-45,NA,Dan McCready,DEM,5,0
CUMBERLAND,ABSENTEE 21-45,NA,Jeff Scott,LIB,5,0
CUMBERLAND,ABSENTEE 21-45,NA,Mark Harris,REP,5,0
CUMBERLAND,AL51,ALDERMAN,Dan McCready,DEM,5,971
CUMBERLAND,AL51,ALDERMAN,Jeff Scott,LIB,5,35
CUMBERLAND,AL51,ALDERMAN,Mark Harris,REP,5,1605
CUMBERLAND,CC01,CROSS CREEK 01,Dan McCready,DEM,5,893
CUMBERLAND,CC01,CROSS CREEK 01,Jeff Scott,LIB,5,13
CUMBERLAND,CC01,CROSS CREEK 01,Mark Harris,REP,5,107
CUMBERLAND,CC05,CROSS CREEK 05,Dan McCready,DEM,5,733
CUMBERLAND,CC05,CROSS CREEK 05,Jeff Scott,LIB,5,13
CUMBERLAND,CC05,CROSS CREEK 05,Mark Harris,REP,5,97
CUMBERLAND,CC08,CROSS CREEK 08,Dan McCready,DEM,5,91
CUMBERLAND,CC08,CROSS CREEK 08,Jeff Scott,LIB,5,0
CUMBERLAND,CC08,CROSS CREEK 08,Mark Harris,REP,5,99
CUMBERLAND,CC16,CROSS CREEK 16,Dan McCready,DEM,5,1080
CUMBERLAND,CC16,CROSS CREEK 16,Jeff Scott,LIB,5,12
CUMBERLAND,CC16,CROSS CREEK 16,Mark Harris,REP,5,24
CUMBERLAND,EO61-1,EASTOVER 1,Dan McCready,DEM,5,625
CUMBERLAND,EO61-1,EASTOVER 1,Jeff Scott,LIB,5,16
CUMBERLAND,EO61-1,EASTOVER 1,Mark Harris,REP,5,1027
CUMBERLAND,EO61-2,EASTOVER 2,Dan McCready,DEM,5,475
CUMBERLAND,EO61-2,EASTOVER 2,Jeff Scott,LIB,5,19
CUMBERLAND,EO61-2,EASTOVER 2,Mark Harris,REP,5,603
CUMBERLAND,G1A,CROSS CREEK 02-G1,Dan McCready,DEM,5,667
CUMBERLAND,G1A,CROSS CREEK 02-G1,Jeff Scott,LIB,5,18
CUMBERLAND,G1A,CROSS CREEK 02-G1,Mark Harris,REP,5,281
CUMBERLAND,G1B,JUDSON-VANDER-G1,Dan McCready,DEM,5,881
CUMBERLAND,G1B,JUDSON-VANDER-G1,Jeff Scott,LIB,5,29
CUMBERLAND,G1B,JUDSON-VANDER-G1,Mark Harris,REP,5,1248
CUMBERLAND,G3A-1,PEARCES MILL 2A-G3,Dan McCready,DEM,5,1103
CUMBERLAND,G3A-1,PEARCES MILL 2A-G3,Jeff Scott,LIB,5,26
CUMBERLAND,G3A-1,PEARCES MILL 2A-G3,Mark Harris,REP,5,430
CUMBERLAND,G3A-2,PEARCES MILL 2B-G3,Dan McCready,DEM,5,636
CUMBERLAND,G3A-2,PEARCES MILL 2B-G3,Jeff Scott,LIB,5,26
CUMBERLAND,G3A-2,PEARCES MILL 2B-G3,Mark Harris,REP,5,403
CUMBERLAND,G3B,CROSS CREEK 11-G3,Dan McCready,DEM,5,255
CUMBERLAND,G3B,CROSS CREEK 11-G3,Jeff Scott,LIB,5,16
CUMBERLAND,G3B,CROSS CREEK 11-G3,Mark Harris,REP,5,184
CUMBERLAND,G3C,PEARCES MILL 3-G3,Dan McCready,DEM,5,310
CUMBERLAND,G3C,PEARCES MILL 3-G3,Jeff Scott,LIB,5,13
CUMBERLAND,G3C,PEARCES MILL 3-G3,Mark Harris,REP,5,387
CUMBERLAND,G6A,STEDMAN-G6,Dan McCready,DEM,5,685
CUMBERLAND,G6A,STEDMAN-G6,Jeff Scott,LIB,5,21
CUMBERLAND,G6A,STEDMAN-G6,Mark Harris,REP,5,1556
CUMBERLAND,G6B,BEAVER DAM-G6,Dan McCready,DEM,5,180
CUMBERLAND,G6B,BEAVER DAM-G6,Jeff Scott,LIB,5,7
CUMBERLAND,G6B,BEAVER DAM-G6,Mark Harris,REP,5,437
CUMBERLAND,G6C,CEDAR CREEK-G6,Dan McCready,DEM,5,426
CUMBERLAND,G6C,CEDAR CREEK-G6,Jeff Scott,LIB,5,16
CUMBERLAND,G6C,CEDAR CREEK-G6,Mark Harris,REP,5,602
CUMBERLAND,G9A,HOPE MILLS 3-G9,Dan McCready,DEM,5,729
CUMBERLAND,G9A,HOPE MILLS 3-G9,Jeff Scott,LIB,5,20
CUMBERLAND,G9A,HOPE MILLS 3-G9,Mark Harris,REP,5,617
CUMBERLAND,G9B-1,HOPE MILLS 2A-G9,Dan McCready,DEM,5,984
CUMBERLAND,G9B-1,HOPE MILLS 2A-G9,Jeff Scott,LIB,5,38
CUMBERLAND,G9B-1,HOPE MILLS 2A-G9,Mark Harris,REP,5,852
