county_id,county_desc,election_dt,contest_id,contest_title,contest_party_lbl,contest_vote_for,is_admin_juris,precinct_code,precinct_name,result_type_lbl,result_type_des,candidate_id,candidate_name,candidate_party_lbl,group_num,group_name,voting_method_lbl,voting_method_rslt_desc,group_vote_ct_adj
5,ASHE,2018-11-06,610,ASHE COUNTY BOARD OF COMMISSIONERS,,3,True,ABSENTEE MAIL,,STD,<NORMAL>,1259,Larry Dix,REP,2,ELECTION DAY,V,Election Day,1
5,ASHE,2018-11-06,610,ASHE COUNTY BOARD OF COMMISSIONERS,,3,True,ONE STOP,,STD,<NORMAL>,1259,Larry Dix,REP,2,ELECTION DAY,V,Election Day,1
5,ASHE,2018-11-06,610,ASHE COUNTY BOARD OF COMMISSIONERS,,3,True,PROVISIONAL,,STD,<NORMAL>,1259,Larry Dix,REP,2,ELECTION DAY,V,Election Day,1
5,ASHE,2018-11-06,610,ASHE COUNTY BOARD OF COMMISSIONERS,,3,True,PROVISIONAL,,STD,<NORMAL>,1259,Larry Dix,REP,3,ONE-STOP,O,Absentee: One-Stop,1
5,ASHE,2018-11-06,610,ASHE COUNTY BOARD OF COMMISSIONERS,,3,True,ONE STOP,,STD,<NORMAL>,1259,Larry Dix,REP,3,ONE-STOP,O,Absentee: One-Stop,1
5,ASHE,2018-11-06,610,ASHE COUNTY BOARD OF COMMISSIONERS,,3,True,ABSENTEE MAIL,,STD,<NORMAL>,1259,Larry Dix,REP,3,ONE-STOP,O,Absentee: One-Stop,1
5,ASHE,2018-11-06,610,ASHE COUNTY BOARD OF COMMISSIONERS,,3,True,ABSENTEE MAIL,,STD,<NORMAL>,1259,Larry Dix,REP,4,BY-MAIL,M,Absentee: By-Mail,1
5,ASHE,2018-11-06,610,ASHE COUNTY BOARD OF COMMISSIONERS,,3,True,ONE STOP,,STD,<NORMAL>,1259,Larry Dix,REP,4,BY-MAIL,M,Absentee: By-Mail,1
5,ASHE,2018-11-06,610,ASHE COUNTY BOARD OF COMMISSIONERS,,3,True,PROVISIONAL,,STD,<NORMAL>,1259,Larry Dix,REP,4,BY-MAIL,M,Absentee: By-Mail,1
5,ASHE,2018-11-06,610,ASHE COUNTY BOARD OF COMMISSIONERS,,3,True,PROVISIONAL,,STD,<NORMAL>,1259,Larry Dix,REP,5,PROVISIONAL,P,Provisional,1
5,ASHE,2018-11-06,610,ASHE COUNTY BOARD OF COMMISSIONERS,,3,True,ONE STOP,,STD,<NORMAL>,1259,Larry Dix,REP,5,PROVISIONAL,P,Provisional,1
5,ASHE,2018-11-06,610,ASHE COUNTY BOARD OF COMMISSIONERS,,3,True,ABSENTEE MAIL,,STD,<NORMAL>,1259,Larry Dix,REP,5,PROVISIONAL,P,Provisional,1
5,ASHE,2018-11-06,610,ASHE COUNTY BOARD OF COMMISSIONERS,,3,True,ABSENTEE MAIL,,STD,<NORMAL>,1224,Rex Goss,DEM,2,ELECTION DAY,V,Election Day,1
5,ASHE,2018-11-06,610,ASHE COUNTY BOARD OF COMMISSIONERS,,3,True,PROVISIONAL,,STD,<NORMAL>,1224,Rex Goss,DEM,2,ELECTION DAY,V,Election Day,1
5,ASHE,2018-11-06,610,ASHE COUNTY BOARD OF COMMISSIONERS,,3,True,ONE STOP,,STD,<NORMAL>,1224,Rex Goss,DEM,2,ELECTION DAY,V,Election Day,1
5,ASHE,2018-11-06,610,ASHE COUNTY BOARD OF COMMISSIONERS,,3,True,ONE STOP,,STD,<NORMAL>,1224,Rex Goss,DEM,3,ONE-STOP,O,Absentee: One-Stop,1
5,ASHE,2018-11-06,610,ASHE COUNTY BOARD OF COMMISSIONERS,,3,True,PROVISIONAL,,STD,<NORMAL>,1224,Rex Goss,DEM,3,ONE-STOP,O,Absentee: One-Stop,1
5,ASHE,2018-11-06,610,ASHE COUNTY BOARD OF COMMISSIONERS,,3,True,ABSENTEE MAIL,,STD,<NORMAL>,1224,Rex Goss,DEM,3,ONE-STOP,O,Absentee: One-Stop,1
5,ASHE,2018-11-06,610,ASHE COUNTY BOARD OF COMMISSIONERS,,3,True,ABSENTEE MAIL,,STD,<NORMAL>,1224,Rex Goss,DEM,4,BY-MAIL,M,Absentee: By-Mail,1
5,ASHE,2018-11-06,610,ASHE COUNTY BOARD OF COMMISSIONERS,,3,True,PROVISIONAL,,STD,<NORMAL>,1224,Rex Goss,DEM,4,BY-MAIL,M,Absentee: By-Mail,1
