County	Election Date	Precinct	Contest Group ID	Contest Type	Contest Name	Choice	Choice Party	Vote For	Election Day	One Stop	Absentee by Mail	Provisional	Total Votes	Real Precinct
CRAVEN	09/10/2019	N2	1002	S	US HOUSE OF REPRESENTATIVES DISTRICT 03	Tim Harris	LIB	1	1	3	0	0	4	Y
CRAVEN	09/10/2019	N3	1002	S	US HOUSE OF REPRESENTATIVES DISTRICT 03	Allen Thomas	DEM	1	133	90	2	0	225	Y
CRAVEN	09/10/2019	N3	1002	S	US HOUSE OF REPRESENTATIVES DISTRICT 03	Greg Holt	CST	1	4	0	0	0	4	Y
CRAVEN	09/10/2019	N3	1002	S	US HOUSE OF REPRESENTATIVES DISTRICT 03	Greg Murphy	REP	1	147	98	0	0	245	Y
CRAVEN	09/10/2019	N3	1002	S	US HOUSE OF REPRESENTATIVES DISTRICT 03	Tim Harris	LIB	1	2	1	0	0	3	Y
CRAVEN	09/10/2019	N4	1002	S	US HOUSE OF REPRESENTATIVES DISTRICT 03	Allen Thomas	DEM	1	213	226	2	0	441	Y
CRAVEN	09/10/2019	N4	1002	S	US HOUSE OF REPRESENTATIVES DISTRICT 03	Greg Holt	CST	1	1	0	0	0	1	Y
CRAVEN	09/10/2019	N4	1002	S	US HOUSE OF REPRESENTATIVES DISTRICT 03	Greg Murphy	REP	1	198	106	7	0	311	Y
CRAVEN	09/10/2019	N4	1002	S	US HOUSE OF REPRESENTATIVES DISTRICT 03	Tim Harris	LIB	1	0	1	0	0	1	Y
CRAVEN	09/10/2019	N5	1002	S	US HOUSE OF REPRESENTATIVES DISTRICT 03	Allen Thomas	DEM	1	81	144	3	0	228	Y
CRAVEN	09/10/2019	N5	1002	S	US HOUSE OF REPRESENTATIVES DISTRICT 03	Greg Holt	CST	1	0	0	0	0	0	Y
CRAVEN	09/10/2019	N5	1002	S	US HOUSE OF REPRESENTATIVES DISTRICT 03	Greg Murphy	REP	1	57	44	1	0	102	Y
CRAVEN	09/10/2019	N5	1002	S	US HOUSE OF REPRESENTATIVES DISTRICT 03	Tim Harris	LIB	1	0	1	0	0	1	Y
CRAVEN	09/10/2019	N6	1002	S	US HOUSE OF REPRESENTATIVES DISTRICT 03	Allen Thomas	DEM	1	308	295	9	0	612	Y
CRAVEN	09/10/2019	N6	1002	S	US HOUSE OF REPRESENTATIVES DISTRICT 03	Greg Holt	CST	1	5	2	0	0	7	Y
CRAVEN	09/10/2019	N6	1002	S	US HOUSE OF REPRESENTATIVES DISTRICT 03	Greg Murphy	REP	1	449	276	9	0	734	Y
CRAVEN	09/10/2019	N6	1002	S	US HOUSE OF REPRESENTATIVES DISTRICT 03	Tim Harris	LIB	1	4	4	0	0	8	Y
CUMBERLAND	09/10/2019	AL51	1001	S	US HOUSE OF REPRESENTATIVES DISTRICT 09	Allen Smith	GRE	1	0	1	0	0	1	Y
CUMBERLAND	09/10/2019	AL51	1001	S	US HOUSE OF REPRESENTATIVES DISTRICT 09	Dan Bishop	REP	1	795	166	8	0	969	Y
CUMBERLAND	09/10/2019	AL51	1001	S	US HOUSE OF REPRESENTATIVES DISTRICT 09	Dan McCready	DEM	1	427	193	3	0	623	Y
CUMBERLAND	09/10/2019	AL51	1001	S	US HOUSE OF REPRESENTATIVES DISTRICT 09	Jeff Scott	LIB	1	1	1	0	0	2	Y
CUMBERLAND	09/10/2019	CC01	1001	S	US HOUSE OF REPRESENTATIVES DISTRICT 09	Allen Smith	GRE	1	0	1	0	0	1	Y
CUMBERLAND	09/10/2019	CC01	1001	S	US HOUSE OF REPRESENTATIVES DISTRICT 09	Dan Bishop	REP	1	33	24	0	0	57	Y
CUMBERLAND	09/10/2019	CC01	1001	S	US HOUSE OF REPRESENTATIVES DISTRICT 09	Dan McCready	DEM	1	270	163	0	0	433	Y
CUMBERLAND	09/10/2019	CC01	1001	S	US HOUSE OF REPRESENTATIVES DISTRICT 09	Jeff Scott	LIB	1	2	2	0	0	4	Y
CUMBERLAND	09/10/2019	CC05	1001	S	US HOUSE OF REPRESENTATIVES DISTRICT 09	Allen Smith	GRE	1	0	0	0	0	0	Y
CUMBERLAND	09/10/2019	CC05	1001	S	US HOUSE OF REPRESENTATIVES DISTRICT 09	Dan Bishop	REP	1	40	15	1	0	56	Y
CUMBERLAND	09/10/2019	CC05	1001	S	US HOUSE OF REPRESENTATIVES DISTRICT 09	Dan McCready	DEM	1	282	76	0	0	358	Y
CUMBERLAND	09/10/2019	CC05	1001	S	US HOUSE OF REPRESENTATIVES DISTRICT 09	Jeff Scott	LIB	1	1	1	0	0	2	Y
CUMBERLAND	09/10/2019	CC08	1001	S	US HOUSE OF REPRESENTATIVES DISTRICT 09	Allen Smith	GRE	1	0	0	0	0	0	Y
CUMBERLAND	09/10/2019	CC08	1001	S	US HOUSE OF REPRESENTATIVES DISTRICT 09	Dan Bishop	REP	1	52	7	0	0	59	Y
CUMBERLAND	09/10/2019	CC08	1001	S	US HOUSE OF REPRESENTATIVES DISTRICT 09	Dan McCready	DEM	1	21	25	2	0	48	Y
CUMBERLAND	09/10/2019	CC08	1001	S	US HOUSE OF REPRESENTATIVES DISTRICT 09	Jeff Scott	LIB	1	0	1	0	0	1	Y
CUMBERLAND	09/10/2019	CC16	1001	S	US HOUSE OF REPRESENTATIVES DISTRICT 09	Allen Smith	GRE	1	2	1	0	0	3	Y
CUMBERLAND	09/10/2019	CC16	1001	S	US HOUSE OF REPRESENTATIVES DISTRICT 09	Dan Bishop	REP	1	12	2	0	0	14	Y
CUMBERLAND	09/10/2019	CC16	1001	S	US HOUSE OF REPRESENTATIVES DISTRICT 09	Dan McCready	DEM	1	492	222	0	0	714	Y
CUMBERLAND	09/10/2019	CC16	1001	S	US HOUSE OF REPRESENTATIVES DISTRICT 09	Jeff Scott	LIB	1	1	0	0	0	1	Y
CUMBERLAND	09/10/2019	EO61-1	1001	S	US HOUSE OF REPRESENTATIVES DISTRICT 09	Allen Smith	GRE	1	0	3	0	0	3	Y
CUMBERLAND	09/10/2019	EO61-1	1001	S	US HOUSE OF REPRESENTATIVES DISTRICT 09	Dan Bishop	REP	1	517	189	10	0	716	Y
CUMBERLAND	09/10/2019	EO61-1	1001	S	US HOUSE OF REPRESENTATIVES DISTRICT 09	Dan McCready	DEM	1	236	167	2	0	405	Y
CUMBERLAND	09/10/2019	EO61-1	1001	S	US HOUSE OF REPRESENTATIVES DISTRICT 09	Jeff Scott	LIB	1	1	1	0	0	2	Y
CUMBERLAND	09/10/2019	EO61-2	1001	S	US HOUSE OF REPRESENTATIVES DISTRICT 09	Allen Smith	GRE	1	1	1	0	0	2	Y
CUMBERLAND	09/10/2019	EO61-2	1001	S	US HOUSE OF REPRESENTATIVES DISTRICT 09	Dan Bishop	REP	1	249	112	2	0	363	Y
CUMBERLAND	09/10/2019	EO61-2	1001	S	US HOUSE OF REPRESENTATIVES DISTRICT 09	Dan McCready	DEM	1	154	124	0	0	278	Y
CUMBERLAND	09/10/2019	EO61-2	1001	S	US HOUSE OF REPRESENTATIVES DISTRICT 09	Jeff Scott	LIB	1	0	0	0	0	0	Y
CUMBERLAND	09/10/2019	G1A	1001	S	US HOUSE OF REPRESENTATIVES DISTRICT 09	Allen Smith	GRE	1	2	0	0	0	2	Y
CUMBERLAND	09/10/2019	G1A	1001	S	US HOUSE OF REPRESENTATIVES DISTRICT 09	Dan Bishop	REP	1	128	64	0	0	192	Y
CUMBERLAND	09/10/2019	G1A	1001	S	US HOUSE OF REPRESENTATIVES DISTRICT 09	Dan McCready	DEM	1	277	101	0	0	378	Y
CUMBERLAND	09/10/2019	G1A	1001	S	US HOUSE OF REPRESENTATIVES DISTRICT 09	Jeff Scott	LIB	1	2	0	0	0	2	Y
CUMBERLAND	09/10/2019	G1B	1001	S	US HOUSE OF REPRESENTATIVES DISTRICT 09	Allen Smith	GRE	1	1	2	0	0	3	Y
CUMBERLAND	09/10/2019	G1B	1001	S	US HOUSE OF REPRESENTATIVES DISTRICT 09	Dan Bishop	REP	1	407	359	5	0	771	Y
CUMBERLAND	09/10/2019	G1B	1001	S	US HOUSE OF REPRESENTATIVES DISTRICT 09	Dan McCready	DEM	1	236	316	2	0	554	Y
